name,link,price,cashback
"
Смартфон Tecno Spark 20c 8/128Gb Mystery White (BG7N) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/d2be983b-b138-11ee-8120-dd7cbfe4cc23/,"
11 490 ",575
"
Смартфон iTel P55+ 8/256 Meteor Black (P663LN) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/1d9ad037-c047-11ee-8121-ccae40f1d1a6/,"
11 490 ",575
"
Смартфон iTel P55+ 8/256 Royal Green (P663LN) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/5ae43f31-c048-11ee-8121-ccae40f1d1a6/,"
11 490 ",575
"
Смартфон Tecno Spark 20c 8/128Gb Magic Skin Green (BG7N) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/665c00d5-cb3e-11ee-80e6-8ad50213adda/,"
11 490 ",575
"
Смартфон Tecno Spark 20c 8/128Gb Alpenglow Gold (BG7N) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/1bbdb34c-0151-11ef-80eb-96ac15dec332/,"
11 490 ",575
"
Смартфон Infinix Hot 40i 8/128Gb Black (X6528B) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/331a882e-a333-11ee-8120-dd7cbfe4cc23/,"
11 690 ",585
"
Смартфон Tecno Pova Neo 3 4/128Gb Mecha Black (LH6n) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/c86c3ec7-3751-11ee-8119-a680ca079f5d/,"
11 990 ",600
"
Смартфон Tecno Pova Neo 3 4/128Gb Hurricane Blue (LH6n) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/83923156-38d9-11ee-8119-a680ca079f5d/,"
11 990 ",600
"
Смартфон Realme C53 6/128Гб Mighty Black (RMX3760) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/011d214b-38da-11ee-8119-a680ca079f5d/,"
11 990 ",600
"
Смартфон Realme C53 6/128Гб Champion Gold (RMX3760) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/30722828-38db-11ee-8119-a680ca079f5d/,"
11 990 ",600
"
Смартфон Tecno Pova Neo 3 4/128Gb Amber Gold (LH6n) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/00f05d17-3751-11ee-8119-a680ca079f5d/,"
11 990 ",600
"
Смартфон Samsung Galaxy A05 4/128Гб Green (SM-A055FLGGMEA) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/32f1ec4a-dad7-11ee-80e9-899d15001346/,"
11 990 ",600
"
Смартфон POCO M5 6/128Гб Black (22071219CG) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/b2dd5348-89ec-11ee-8120-dd7cbfe4cc23-41b70c29-8f50-11ee-8120-dd7cbfe4cc23/,"
12 890 ",645
"
Смартфон Tecno Spark 20 8/128Gb Cyber White (KJ5N) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/4bc2d15e-9b41-11ee-8120-dd7cbfe4cc23/,"
12 990 ",650
"
Смартфон Tecno Spark 20 8/128Gb Gravity Black (KJ5N) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/6e82e28c-9e77-11ee-8120-dd7cbfe4cc23/,"
12 990 ",650
"
Смартфон POCO C65 6/128Гб Blue (MZB0FOARU) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/a0d44ee1-a33b-11ee-8120-dd7cbfe4cc23/,"
12 990 ",650
"
Смартфон Tecno Spark 20 8/128Gb Magic Skin Blue (KJ5N) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/7491dc41-b138-11ee-8120-dd7cbfe4cc23/,"
12 990 ",650
"
Смартфон Tecno Spark 20 8/128Gb Neon Gold (KJ5N) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/1c0247cc-f71e-11ee-80eb-96ac15dec332/,"
12 990 ",650
"
Смартфон Vivo Y18 6/128Гб Hot Chocolate (V2333) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/d18a7fec-1836-11ef-80eb-96ac15dec332/,"
12 990 ",650
"
Смартфон Vivo Y18 6/128Гб Sea Wave (V2333) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/0f819cc4-1838-11ef-80eb-96ac15dec332/,"
12 990 ",650
"
Смартфон Infinix Hot 11S 4/64Gb Black (X6812B) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/b9090e40-75f3-11ec-80f4-b260be2bc5ec-275c7236-db70-11ec-80fd-9e7f4e0f2588/,"
13 490 ",675
"
Смартфон Samsung Galaxy A05s 4/128Гб Black (SM-A057FZKVCAU) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/85278458-8f87-11ee-8120-dd7cbfe4cc23/,"
13 490 ",675
"
Смартфон Samsung Galaxy A05s 4/128Гб Black (SM-A057FZKVSKZ) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/fc1e4f97-b1f3-11ee-8120-dd7cbfe4cc23/,"
13 490 ",675
